transaction_id,announced_date,effective_date,from_team,to_team,asset_type,asset_name,player_id,status,source_url,source_updated_at,verified_at_utc,notes,player_name,latest_team,latest_age,latest_season,seasons_used,weighted_pie,weighted_minutes,weighted_availability,weighted_net_rating,weighted_plus_minus,pie_above_replacement,minutes_share,estimated_wins_above_replacement,impact_confidence
2026_MIA_MIL_01,2026-06-22,2026-07-06,MIA,MIL,PLAYER,Jaime Jaquez Jr.,1631170,OFFICIAL,https://www.nba.com/news/2026-offseason-trade-tracker,2026-07-09,2026-07-11,Official NBA tracker,Jaime Jaquez Jr.,MIA,25.0,2025-26,3,0.10415,26.005000000000003,0.8817073170731708,0.21500000000000008,0.565,0.026650000000000007,0.5417708333333334,1.0438813328125005,0.9408536585365854
2026_MIA_MIL_01,2026-06-22,2026-07-06,MIA,MIL,PLAYER,Kasparas Jakucionis,1642857,OFFICIAL,https://www.nba.com/news/2026-offseason-trade-tracker,2026-07-09,2026-07-11,Official NBA tracker,Kasparas Jakučionis,MIA,20.0,2025-26,1,0.073,17.8,0.6463414634146342,3.0,1.4,-0.004500000000000004,0.37083333333333335,-0.08844375000000008,0.48983739837398377
2026_WAS_LAL_01,2026-07-03,,LAL,WAS,PLAYER,Deandre Ayton,1629028,OFFICIAL,https://www.nba.com/news/deandre-ayton-trade-wizards-lakers,2026-07-09,2026-07-11,Current NBA team tracker marks officially announced; exact effective date not displayed,Deandre Ayton,LAL,27.0,2025-26,3,0.12300000000000001,28.85,0.7298780487804879,-3.3199999999999994,-2.155,0.04550000000000001,0.6010416666666667,1.6367416406250006,0.864939024390244
2026_WAS_LAL_01,2026-07-03,,WAS,LAL,PLAYER,Jaden Hardy,1630702,OFFICIAL,https://www.nba.com/news/deandre-ayton-trade-wizards-lakers,2026-07-09,2026-07-11,Current NBA team tracker marks officially announced; exact effective date not displayed,Jaden Hardy,WAS,23.0,2025-26,3,0.06915000000000002,15.5,0.724390243902439,-4.355,-1.4100000000000001,-0.008349999999999982,0.3229166666666667,-0.16016343749999967,0.8621951219512195
2026_SIX_TEAM_01,2026-07-08,2026-07-08,DAL,WAS,PLAYER,Khris Middleton,203114,OFFICIAL,https://www.nba.com/news/khris-middleton-to-wizards-as-part-of-6-team-trade,2026-07-08,2026-07-11,Official six-team transaction,Khris Middleton,DAL,34.0,2025-26,3,0.0919,23.43,0.6585365853658537,-5.1450000000000005,-2.24,0.014399999999999996,0.488125,0.3795659999999999,0.8292682926829269
2026_SIX_TEAM_01,2026-07-08,2026-07-08,DAL,MEM,PLAYER,AJ Johnson,1642358,OFFICIAL,https://www.nba.com/news/khris-middleton-to-wizards-as-part-of-6-team-trade,2026-07-08,2026-07-11,Official six-team transaction,AJ Johnson,DAL,21.0,2025-26,2,0.0478235294117647,13.84705882352941,0.503586800573888,-8.2,-2.5470588235294116,-0.029676470588235297,0.2884803921568627,-0.3535222394667209,0.5851267336202773
2026_SIX_TEAM_01,2026-07-08,2026-07-08,WAS,MEM,PLAYER,D'Angelo Russell,1626156,OFFICIAL,https://www.nba.com/news/khris-middleton-to-wizards-as-part-of-6-team-trade,2026-07-08,2026-07-11,Official six-team transaction,D'Angelo Russell,WAS,30.0,2025-26,3,0.09875,23.005000000000003,0.525609756097561,-1.9300000000000002,-0.5200000000000001,0.021250000000000005,0.47927083333333337,0.4389521744791668,0.7628048780487805
2026_SIX_TEAM_01,2026-07-08,2026-07-08,DET,MEM,PLAYER,Isaiah Stewart,1630191,OFFICIAL,https://www.nba.com/news/khris-middleton-to-wizards-as-part-of-6-team-trade,2026-07-08,2026-07-11,Official six-team transaction,Isaiah Stewart,DET,25.0,2025-26,3,0.0932,23.09,0.7365853658536585,0.5100000000000001,-0.020000000000000018,0.015700000000000006,0.48104166666666665,0.45616219166666677,0.8682926829268293
2026_SIX_TEAM_01,2026-07-08,2026-07-08,MEM,DAL,PLAYER,Santi Aldama,1630583,OFFICIAL,https://www.nba.com/news/khris-middleton-to-wizards-as-part-of-6-team-trade,2026-07-08,2026-07-11,Official six-team transaction,Santi Aldama,MEM,25.0,2025-26,3,0.11455000000000001,26.97,0.6378048780487805,-1.5150000000000001,-0.5900000000000001,0.037050000000000013,0.561875,1.0887536156250004,0.8189024390243902
2026_SIX_TEAM_01,2026-07-08,2026-07-08,DET,DAL,PLAYER,Marcus Sasser,1631204,OFFICIAL,https://www.nba.com/news/khris-middleton-to-wizards-as-part-of-6-team-trade,2026-07-08,2026-07-11,Official six-team transaction,Marcus Sasser,DET,25.0,2025-26,3,0.0843,13.71,0.5932926829268294,6.935000000000001,1.3900000000000001,0.0068000000000000005,0.285625,0.09449046250000001,0.7966463414634146
