team,old_roster_value,new_roster_value_low,new_roster_value_base,new_roster_value_high,roster_win_delta_low,roster_win_delta_base,roster_win_delta_high,injury_downside_wins,injury_upside_wins
ATL,8.900924104574225,5.956947861850431,5.956947861850431,5.956947861850431,-2.943976242723794,-2.943976242723794,-2.943976242723794,0.0,0.0
BKN,3.8413627064301887,2.9606886627538405,2.9606886627538405,2.9606886627538405,-0.8806740436763483,-0.8806740436763483,-0.8806740436763483,0.0,0.0
BOS,13.4558350169742,8.235653307726372,8.235653307726372,8.235653307726372,-5.220181709247829,-5.220181709247829,-5.220181709247829,0.0,0.0
CHA,10.320127975915252,8.310621985301312,8.310621985301312,8.310621985301312,-2.00950599061394,-2.00950599061394,-2.00950599061394,0.0,0.0
CHI,6.743987400216951,7.229147235408032,7.229147235408032,7.229147235408032,0.4851598351910811,0.4851598351910811,0.4851598351910811,0.0,0.0
CLE,11.96440723557341,15.162979124423291,15.162979124423291,15.162979124423291,3.198571888849882,3.198571888849882,3.198571888849882,0.0,0.0
DAL,6.7560250025936295,7.957666583753851,8.453423761684226,8.760558561533292,1.2016415811602217,1.6973987590905963,2.004533558939663,0.49575717793037466,0.30713479984906655
DEN,10.45748469494458,10.332266527351315,10.332266527351315,10.332266527351315,-0.12521816759326398,-0.12521816759326398,-0.12521816759326398,0.0,0.0
DET,13.358455373065215,9.28287277253604,9.28287277253604,9.28287277253604,-4.0755826005291755,-4.0755826005291755,-4.0755826005291755,0.0,0.0
GSW,9.567082659459576,8.424470133606777,8.920461197568187,9.4046465892121,-1.1426125258527993,-0.6466214618913888,-0.16243607024747675,0.49599106396141046,0.48418539164391206
HOU,12.131466370912234,12.503459816102096,12.503459816102096,12.503459816102096,0.37199344518986166,0.37199344518986166,0.37199344518986166,0.0,0.0
IND,7.854079614992688,8.730056489494723,8.730056489494723,8.730056489494723,0.8759768745020349,0.8759768745020349,0.8759768745020349,0.0,0.0
LAC,7.375218782249743,3.707417610912094,3.707417610912094,3.707417610912094,-3.6678011713376484,-3.6678011713376484,-3.6678011713376484,0.0,0.0
LAL,11.120270222465809,12.217836126277842,12.217836126277842,12.217836126277842,1.0975659038120327,1.0975659038120327,1.0975659038120327,0.0,0.0
MEM,5.4718484347486385,4.055835787421465,4.055835787421465,4.055835787421465,-1.4160126473271735,-1.4160126473271735,-1.4160126473271735,0.0,0.0
MIA,10.57109051910141,10.521290896580545,10.521290896580545,10.521290896580545,-0.04979962252086523,-0.04979962252086523,-0.04979962252086523,0.0,0.0
MIL,6.405259310696811,5.468091290461584,5.468091290461584,5.468091290461584,-0.9371680202352275,-0.9371680202352275,-0.9371680202352275,0.0,0.0
MIN,10.789235982128236,8.659074624583436,8.659074624583436,8.659074624583436,-2.1301613575448,-2.1301613575448,-2.1301613575448,0.0,0.0
NOP,7.97729042280014,7.7520646741705255,7.7520646741705255,7.7520646741705255,-0.2252257486296143,-0.2252257486296143,-0.2252257486296143,0.0,0.0
NYK,11.597624416193485,9.684693086582268,9.684693086582268,9.684693086582268,-1.912931329611217,-1.912931329611217,-1.912931329611217,0.0,0.0
OKC,14.390003573981417,13.004981197380516,13.004981197380516,13.004981197380516,-1.3850223766009009,-1.3850223766009009,-1.3850223766009009,0.0,0.0
ORL,10.121133913088492,11.73469326609669,11.73469326609669,11.73469326609669,1.6135593530081973,1.6135593530081973,1.6135593530081973,0.0,0.0
PHI,9.020762254202776,9.184040323857456,9.184040323857456,9.184040323857456,0.16327806965468028,0.16327806965468028,0.16327806965468028,0.0,0.0
PHX,9.121150088001457,6.38560476521636,6.38560476521636,6.38560476521636,-2.7355453227850965,-2.7355453227850965,-2.7355453227850965,0.0,0.0
POR,8.142637356163846,8.322625066857706,8.322625066857706,8.322625066857706,0.17998771069385988,0.17998771069385988,0.17998771069385988,0.0,0.0
SAC,5.8536421113963115,6.465602713189087,6.465602713189087,6.465602713189087,0.6119606017927754,0.6119606017927754,0.6119606017927754,0.0,0.0
SAS,13.289711221291157,10.649276596272726,10.649276596272726,10.649276596272726,-2.6404346250184307,-2.6404346250184307,-2.6404346250184307,0.0,0.0
TOR,11.925486256089075,9.737896882163447,9.737896882163447,9.737896882163447,-2.1875893739256274,-2.1875893739256274,-2.1875893739256274,0.0,0.0
UTA,7.202807495938733,6.162998446047521,6.162998446047521,6.162998446047521,-1.039809049891212,-1.039809049891212,-1.039809049891212,0.0,0.0
WAS,4.539615661743032,6.418836968278457,6.418836968278457,6.418836968278457,1.8792213065354249,1.8792213065354249,1.8792213065354249,0.0,0.0
