player_key,player_id,player_name,team,projected_age,seasons_played_before_2026_27,experience_group,draft_bucket,model_status,injury_status,projected_pie,effective_pie_base,projected_minutes_per_game,projected_points_per_36,projected_points_per_game,model_availability,availability_low,availability_base,availability_high,return_effectiveness_low,return_effectiveness_base,return_effectiveness_high,desired_season_mpg_low,allocated_season_mpg_low,projected_wins_above_replacement_low,desired_season_mpg_base,allocated_season_mpg_base,projected_wins_above_replacement_base,desired_season_mpg_high,allocated_season_mpg_high,projected_wins_above_replacement_high
1642933.0,1642933.0,Keshon Gilbert,ATL,24.0,1,SOPHOMORE,NOT_APPLICABLE,NBA_HISTORY,NO_CURRENT_OVERRIDE,0.054157794111035225,0.054157794111035225,19.43501885128148,9.080353540982657,4.902134506813847,0.0682887612879623,0.0682887612879623,0.0682887612879623,0.0682887612879623,1.0,1.0,1.0,1.3271933629622081,1.1377783288506684,-0.04537035401372573,1.3271933629622081,1.1377783288506684,-0.04537035401372573,1.3271933629622081,1.1377783288506684,-0.04537035401372573
1642484.0,1642484.0,RayJ Dennis,ATL,26.0,2,THIRD_YEAR,NOT_APPLICABLE,NBA_HISTORY,NO_CURRENT_OVERRIDE,0.07585568126015135,0.07585568126015135,10.559608239287522,14.404509924133423,4.22516615771606,0.1578713946556183,0.1578713946556183,0.1578713946556183,0.1578713946556183,1.0,1.0,1.0,1.667060079753279,1.429139780658591,-0.0040145172604668464,1.667060079753279,1.429139780658591,-0.0040145172604668464,1.667060079753279,1.429139780658591,-0.0040145172604668464
1630228.0,1630228.0,Jonathan Kuminga,ATL,24.0,5,VETERAN_24_AND_UNDER,NOT_APPLICABLE,NBA_HISTORY,NO_CURRENT_OVERRIDE,0.11181357146903015,0.11181357146903015,24.205073530507782,20.785218211346148,13.97521486536897,0.5122876835808685,0.5122876835808685,0.5122876835808685,0.5122876835808685,1.0,1.0,1.0,12.399961049848427,10.630257319567129,0.6231352443764604,12.399961049848427,10.630257319567129,0.6231352443764604,12.399961049848427,10.630257319567129,0.6231352443764604
1630552.0,1630552.0,Jalen Johnson,ATL,25.0,5,VETERAN_25_27,NOT_APPLICABLE,NBA_HISTORY,NO_CURRENT_OVERRIDE,0.14612532089558472,0.14612532089558472,34.92591181391257,20.94648549040394,20.321530695812424,0.6765467424848706,0.6765467424848706,0.6765467424848706,0.6765467424848706,1.0,1.0,1.0,23.629011866016405,20.256714947175563,2.3747944210480303,23.629011866016405,20.256714947175563,2.3747944210480303,23.629011866016405,20.256714947175563,2.3747944210480303
1630811.0,1630811.0,Keaton Wallace,ATL,28.0,2,THIRD_YEAR,NOT_APPLICABLE,NBA_HISTORY,NO_CURRENT_OVERRIDE,0.07997332831897487,0.07997332831897487,12.724314121640463,12.881140675443847,4.552880005538542,0.5280292138808694,0.5280292138808694,0.5280292138808694,0.5280292138808694,1.0,1.0,1.0,6.718809582823059,5.759911217419158,0.024337175528407376,6.718809582823059,5.759911217419158,0.024337175528407376,6.718809582823059,5.759911217419158,0.024337175528407376
203468.0,203468.0,CJ McCollum,ATL,35.0,13,VETERAN_34_36,NOT_APPLICABLE,NBA_HISTORY,NO_CURRENT_OVERRIDE,0.09905326642847134,0.09905326642847134,28.703354525711084,21.970356629496933,17.517303760909925,0.7652528198122461,0.7652528198122461,0.7652528198122461,0.7652528198122461,1.0,1.0,1.0,21.965322988871005,18.830465236175588,0.6933408084375733,21.965322988871005,18.830465236175588,0.6933408084375733,21.965322988871005,18.830465236175588,0.6933408084375733
1629216.0,1629216.0,Gabe Vincent,ATL,31.0,7,VETERAN_31_33,NOT_APPLICABLE,NBA_HISTORY,NO_CURRENT_OVERRIDE,0.027266255875272274,0.027266255875272274,16.575320188008714,8.861311910684979,4.079974505706078,0.5676986827646565,0.5676986827646565,0.5676986827646565,0.5676986827646565,1.0,1.0,1.0,9.409787437134966,8.066836772878208,-0.6922634995055432,9.409787437134966,8.066836772878208,-0.6922634995055432,9.409787437134966,8.066836772878208,-0.6922634995055432
1630700.0,1630700.0,Dyson Daniels,ATL,24.0,4,VETERAN_24_AND_UNDER,NOT_APPLICABLE,NBA_HISTORY,NO_CURRENT_OVERRIDE,0.10141357146903014,0.10141357146903014,32.01007353050778,13.229169632677005,11.762963685820877,0.8628974396784296,0.8628974396784296,0.8628974396784296,0.8628974396784296,1.0,1.0,1.0,27.621410493393434,23.679324466729106,0.9673560807046958,27.621410493393434,23.679324466729106,0.9673560807046958,27.621410493393434,23.679324466729106,0.9673560807046958
1629638.0,1629638.0,Nickeil Alexander-Walker,ATL,28.0,7,VETERAN_28_30,NOT_APPLICABLE,NBA_HISTORY,NO_CURRENT_OVERRIDE,0.0897589647366262,0.0897589647366262,28.288344702897337,17.936199458856958,14.094038693112953,0.9117574286318837,0.9117574286318837,0.9117574286318837,0.9117574286318837,1.0,1.0,1.0,25.792108426566045,22.11109763057878,0.4630594088248309,25.792108426566045,22.11109763057878,0.4630594088248309,25.792108426566045,22.11109763057878,0.4630594088248309
1627741.0,1627741.0,Buddy Hield,ATL,34.0,10,VETERAN_34_36,NOT_APPLICABLE,NBA_HISTORY,NO_CURRENT_OVERRIDE,0.07920326642847136,0.07920326642847136,17.118354525711087,16.444018352720324,7.819292666365726,0.7219601368854167,0.7219601368854167,0.7219601368854167,0.7219601368854167,1.0,1.0,1.0,12.358769576635469,10.594944631255808,0.03082860639913202,12.358769576635469,10.594944631255808,0.03082860639913202,12.358769576635469,10.594944631255808,0.03082860639913202
